Sample,tca_change,avg_length_change,25_length_change,75_length_change,total_cracks_change,cd_change,process
1,1.9344086021505378,0.918094887509882,1.3185762376493075,1.3056051817743461,0.5454545454545454,3.0,FTC4
2,0.030932203389830493,-0.39025695675124106,-0.34627351588448296,-0.5459600029023469,1.217948717948718,0.5,FT60
3,0.049554655870445385,-0.2335407797731177,-0.253265833234839,-0.09372338799677038,0.38636363636363646,0.1333333333333333,FTC2
4,0.12638436482084692,-0.23101625248621172,-0.33804266776721115,0.6096803224315248,-0.125,0.6666666666666667,FT90
5,2.0829931972789115,-0.029137272313980223,0.08737364080315135,0.607913756400736,1.8571428571428572,2.0000000000000004,FTC5
6,0.02622673434856182,-0.18331461349470912,-0.28291941475957294,-0.20974306140408516,1.0,0.8333333333333333,FT30
7,0.032429891900360275,-0.37908922189487326,0.019505757561223636,-0.3119505152576595,0.23809523809523814,0.5,FTC1
8,0.30046948356807524,-0.2102915563727047,-0.008252188174040387,-0.22516648790346194,0.4736842105263157,0.16666666666666652,FTC3
9,0.28744637194553246,-0.24940988011095544,-0.4008390723967036,0.2070009918437543,0.9047619047619047,1.0,FT120
10,0.5137800252844502,0.41817288590822166,0.13246963533979184,0.5568046921822096,0.125,0.76,FT150
